feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,clip1,clip2,gaind,gainf,cdel,cbyp,x0,y0,mod_ampl,ngain,nbfbk,ncgain,rate_gain,noise_attack,fbk,tfbk,resonator_attack,attack_time,decay_time,sustain_level,release_time,initial_level
0.01,0.01,0.5542402,0.01,-398.90594,149.7482,45.636063,-26.77999,-36.327484,-11.636774,-1.6797264,-17.1304,-30.489481,-20.620224,-1.4396821,-0.1878564,-19.858759,0.0016798298,0.0013448101,0.0012893594,0.003137843,0.01674368,0.0050792256,0.0018606649,0.010428219,0.25418395,1.0,0.3831254,0.014210445,656.7738,676.6403,0.039236486,0.40357888,0.571,0.539,0.474,0.238,4.715,4.361,0.547,0.543,0.073,0.516,0.591,0.055,0.761,0.347,0.268,0.846,0.209,0.323,0.849,0.53,1.076,0.831
0.01,0.01,0.5542358,0.01,-396.0344,147.97832,45.140175,-27.116308,-36.764133,-11.64584,-1.037845,-16.365822,-30.274734,-21.032373,-1.9828612,-0.43481785,-19.851439,0.0018236886,0.0014308081,0.0013438531,0.0031903102,0.016774641,0.004986001,0.0017322963,0.010228062,0.2536674,1.0,0.3838399,0.0144844195,697.94324,737.6081,0.039230872,0.40358174,0.593,0.858,0.226,0.62,2.159,7.152,0.363,0.5,0.56,0.284,0.42,0.21,0.176,0.093,0.175,0.798,0.39,0.095,0.339,0.855,3.984,0.273
0.01,0.01,0.5542408,0.01,-397.89456,149.41371,45.54192,-27.118504,-36.67434,-11.505714,-1.0948871,-16.622978,-30.462133,-20.941908,-1.6992009,-0.20704952,-19.819082,0.0016460696,0.0013148739,0.0012651358,0.0031062246,0.016718645,0.005080677,0.0018597258,0.010445848,0.25417694,1.0,0.38310063,0.014142299,665.6121,693.2661,0.039230872,0.40364808,0.606,0.853,0.244,0.559,6.326,9.756,0.793,0.798,0.428,0.73,0.748,0.711,0.849,0.264,0.387,0.89,0.462,0.306,0.222,0.561,4.067,0.808
0.01,0.01,0.5542664,0.01,-398.0467,149.52275,45.560978,-27.161951,-36.71029,-11.4891815,-1.0459013,-16.59288,-30.472322,-20.968699,-1.7138436,-0.20818211,-19.822687,0.0016471158,0.0013159413,0.0012667568,0.0031143618,0.016748417,0.005090968,0.0018652354,0.010462342,0.2541906,1.0,0.38309112,0.014146881,663.8527,690.3313,0.03924771,0.4035731,0.629,0.573,0.208,0.271,2.6,3.361,0.606,0.289,0.273,0.425,0.541,0.614,0.128,0.344,0.782,0.367,0.028,0.238,0.335,0.417,3.829,0.055
0.01,0.01,0.5540324,0.01,-396.1752,148.12337,45.233204,-27.093044,-36.780712,-11.656887,-1.0303367,-16.359264,-30.281273,-21.03651,-1.9605027,-0.38837934,-19.816988,0.001783032,0.0014037553,0.0013243194,0.0031626946,0.016713627,0.0049749506,0.0017360465,0.010225786,0.25369552,1.0,0.3837005,0.014398554,694.56104,733.8704,0.03922526,0.40372893,0.13,0.34,0.954,0.116,6.043,3.675,0.23,0.05,0.499,0.973,0.003,0.036,0.654,0.398,0.591,0.225,0.182,0.152,0.826,0.433,0.633,0.54
0.01,0.01,0.5542559,0.01,-398.93692,149.77397,45.6359,-26.791092,-36.334286,-11.63644,-1.6761478,-17.13,-30.494844,-20.62793,-1.4435252,-0.18514256,-19.853268,0.0016789846,0.0013444307,0.0012891372,0.0031379901,0.016744073,0.005078747,0.0018595053,0.010428328,0.25418448,1.0,0.3831257,0.014210432,656.45465,676.1513,0.039230872,0.40357918,0.273,0.938,0.553,0.369,9.806,0.224,0.38,0.178,0.23,0.857,0.222,0.947,0.37,0.396,0.088,0.231,0.169,0.342,0.759,0.777,4.426,0.481
0.01,0.01,0.55420834,0.01,-395.87927,147.86339,45.07328,-27.122515,-36.744736,-11.646448,-1.063853,-16.38373,-30.262053,-21.009222,-1.9841611,-0.462574,-19.871754,0.0018424573,0.0014428189,0.00135191,0.003199047,0.01677363,0.004969449,0.0017138517,0.010196854,0.25360104,1.0,0.38392788,0.014521936,701.1046,740.8363,0.039236486,0.40358326,0.154,0.257,0.916,0.939,1.175,8.981,0.814,0.5,0.048,0.579,0.897,0.167,0.49,0.289,0.011,0.464,0.165,0.225,0.783,0.97,3.543,0.291
0.01,0.01,0.554243,0.01,-397.76297,149.3101,45.51294,-27.084137,-36.633392,-11.506909,-1.134236,-16.658546,-30.465544,-20.923311,-1.6842455,-0.20311977,-19.814175,0.0016494937,0.001316812,0.0012656905,0.0031051463,0.016718548,0.0050820615,0.001858196,0.010441075,0.2541685,1.0,0.38311422,0.014150691,667.34576,696.0954,0.039230872,0.4036431,0.157,0.453,0.806,0.642,0.789,6.543,0.941,0.386,0.846,0.929,0.983,0.034,0.956,0.123,0.515,0.962,0.172,0.185,0.174,0.545,4.025,0.71
0.01,0.01,0.55425847,0.01,-398.23737,149.65468,45.59911,-27.197723,-36.756813,-11.494885,-1.0148207,-16.567816,-30.479557,-20.992792,-1.7256438,-0.20338787,-19.821218,0.0016439342,0.001314195,0.0012664446,0.0031161266,0.016749829,0.005089755,0.001867092,0.010467594,0.2541998,1.0,0.38307583,0.014138715,661.6599,686.3064,0.039236486,0.40357295,0.965,0.763,0.565,0.195,7.626,9.536,0.831,0.782,0.129,0.766,0.949,0.256,0.304,0.22,0.512,0.166,0.356,0.428,0.149,0.37,1.315,0.738
0.01,0.01,0.55402684,0.01,-396.35284,148.24727,45.311386,-27.07979,-36.801342,-11.659913,-1.0024219,-16.333652,-30.287174,-21.058266,-1.9611944,-0.35996097,-19.791824,0.0017664112,0.0013930389,0.0013173118,0.0031556247,0.016715018,0.0049889614,0.001752359,0.010253693,0.25375572,1.0,0.3836223,0.014365147,691.3003,730.1696,0.039219648,0.40373287,0.372,0.163,0.555,0.942,9.021,0.082,0.052,0.136,0.393,0.371,0.051,0.383,0.177,0.467,0.441,0.64,0.146,0.311,0.965,0.898,3.909,0.427
